Title,Published Date,Views,Likes,Comments
Nothing Sweeter Than This Moment,2026-02-16,772904,48385,2306
am I in trouble for this?,2026-01-21,1334019,73289,4663
I Spent 24 Hours Drawing at an Anime Studio,2026-01-16,3892952,299570,9072
CLOSING A CHAPTER,2025-12-22,2267253,106139,5109
Everything is different..,2025-11-27,1888007,100222,4670
STOP. Using AI Right now,2025-10-31,4551111,262549,13849
Thanks for 15 years,2025-10-11,6698395,305071,14045
"help, Im going through a midlife crisis...",2025-09-26,2429138,164816,13945
they said moving to japan was a mistake..,2025-09-18,1990468,100019,5081
Accidentally Built a Nuclear Supercomputer.,2025-08-21,3031895,201591,10257
Can we make it back home?,2025-08-09,1208833,67458,3392
The greatest game of GeoGuessr..,2025-07-27,3776873,217818,6954
This Hit Different This Year… 🇸🇪,2025-07-18,1968229,100712,4221
I'm DONE with Google,2025-06-26,7305588,559563,32086
This Trip Was NOT What We Planned,2025-06-15,1826811,81650,3666
Presenting my Billion Dollar Plan...,2025-05-28,3464244,243069,10771
Cycle across Japan!,2025-05-16,1363613,70292,2928
I installed Linux (so should you),2025-04-26,7555723,370260,25835
We bought Land in Japan,2025-04-11,4333649,196801,7542
30 Day Dream Challenge.,2025-03-31,1320706,102429,5162
We finally decided.,2025-03-14,3871394,209070,7930
WHY DID I PLAY THIS?! ((((((So Scary!)))))),2025-02-28,1498910,81088,4357
My First Gaming PC Build... (very easy),2025-02-21,4997626,243228,10239
I SAID I'D NEVER RETURN HERE............,2025-02-14,3154893,193774,7100
I Found My Wife's Meme Folder....,2025-01-30,2046602,139196,3945
Our Family is Growing..,2025-01-08,4011841,216430,8478
Giving you guys a chance....,2024-12-23,2634431,152504,5982
This Month Was Tough on Us..,2024-12-15,2831518,133216,4037
Podcasts have gone too far..,2024-11-28,2355832,108905,4762
Happy Wheels in 2024 is crazy..,2024-11-24,2958800,196961,7878
I put on a suit and went to Australia for this,2024-11-15,2951894,151493,6156
I Drew Every Day for 365 Days..... *it was painful*,2024-10-29,6697566,457127,13106
Setting the record straight about kids!,2024-10-20,4181260,240048,6780
